CPU_Usage (%),Memory_Usage (%),Storage_Usage (GB),Network_Traffic (MB/s),Instance_Type,Cost
73,10,201,523,t2.large,184.48
48,87,397,552,t2.large,225.48
15,26,497,589,t2.small,121.33
57,81,77,674,t2.small,139.61
33,33,184,797,t2.medium,138.49
22,84,213,156,t2.micro,96.08
68,76,109,146,t2.medium,143.18
77,48,333,954,t2.micro,168.99
80,93,434,998,t2.medium,234.45
13,90,490,845,t2.medium,190.12
64,60,196,951,t2.micro,153.85
37,70,415,666,t2.small,155.44
96,44,316,617,t2.large,232.45
22,12,66,390,t2.small,62.83
57,26,132,808,t2.medium,143.74
96,90,395,463,t2.medium,213.26
35,80,355,155,t2.large,187.94
10,81,310,488,t2.medium,142.18
46,49,63,735,t2.micro,111.12
75,23,234,593,t2.small,137.37
67,60,439,469,t2.medium,184.46
49,89,72,316,t2.medium,141.48
92,98,189,907,t2.medium,218.85
34,55,162,527,t2.medium,131.94
83,43,167,736,t2.large,212.91
20,97,349,944,t2.large,223.99
22,16,419,371,t2.large,162.85
70,21,443,793,t2.small,161.02
48,16,421,773,t2.micro,132.04
27,98,185,601,t2.micro,128.51
10,27,325,368,t2.small,93.85
14,14,229,686,t2.large,150.55
70,83,460,920,t2.small,204.44
26,13,267,859,t2.large,171.76
99,69,257,110,t2.large,213.36
77,16,214,507,t2.micro,121.17
10,29,471,357,t2.medium,126.78
75,72,153,160,t2.micro,125.69
87,19,147,723,t2.medium,164.28
57,73,306,732,t2.micro,155.15
21,34,158,188,t2.large,136.26
18,35,386,244,t2.medium,119.58
67,32,401,250,t2.small,136.06
97,64,322,798,t2.large,253.51
77,54,428,513,t2.small,169.25
50,77,426,565,t2.large,223.29
68,33,474,988,t2.small,182.21
92,62,434,404,t2.small,177.72
36,65,398,741,t2.medium,175.1
44,48,468,483,t2.small,150.64
58,13,233,545,t2.large,177.07
31,82,214,754,t2.large,201.92
22,47,457,454,t2.large,187.96
74,69,171,794,t2.small,163.56
64,14,252,352,t2.small,117.08
94,76,375,293,t2.micro,166.92
48,56,222,603,t2.small,130.33
91,29,146,974,t2.small,165.64
56,86,232,555,t2.medium,172.35
70,26,153,542,t2.micro,112.29
80,92,234,180,t2.micro,142.44
72,78,476,905,t2.small,201.35
54,26,447,842,t2.small,159.23
52,58,265,550,t2.small,142.22
90,42,412,122,t2.small,149.82
57,65,433,754,t2.micro,161.33
81,38,250,170,t2.micro,117.27
50,90,244,532,t2.micro,140.54
33,88,446,426,t2.micro,142.95
96,33,146,268,t2.small,133.41
85,44,74,782,t2.large,208.1
37,45,397,440,t2.micro,117.19
34,94,172,982,t2.micro,146.62
31,11,352,678,t2.micro,108.04
40,62,307,692,t2.medium,165.38
90,69,256,935,t2.micro,178.17
30,26,156,534,t2.medium,118.65
32,58,460,201,t2.micro,119.32
50,43,129,160,t2.small,97.47
47,79,260,550,t2.large,206.81
58,90,87,392,t2.large,196.78
24,16,177,852,t2.large,167.0
63,87,169,912,t2.small,171.11
12,33,82,475,t2.large,134.43
48,94,407,299,t2.medium,177.41
83,79,331,448,t2.micro,162.87
29,96,456,538,t2.medium,179.36
96,41,375,286,t2.micro,146.26
81,81,340,700,t2.micro,178.54
87,70,385,208,t2.small,162.9
93,78,353,696,t2.medium,215.4
78,14,441,694,t2.large,217.62
40,25,119,970,t2.medium,138.13
30,58,234,966,t2.small,141.22
40,82,298,786,t2.large,214.82
19,10,436,386,t2.large,160.75
29,97,186,151,t2.micro,101.24
20,57,368,957,t2.micro,137.03
36,35,65,302,t2.small,82.24
25,21,406,463,t2.micro,101.66
46,59,447,950,t2.micro,160.79
76,65,111,645,t2.large,208.36
89,94,193,751,t2.large,247.68
60,96,186,561,t2.large,218.97
31,91,88,777,t2.large,198.58
18,60,271,968,t2.micro,127.18
28,14,289,740,t2.small,114.35
36,77,127,546,t2.medium,142.41
44,58,256,582,t2.large,190.99
72,66,390,249,t2.micro,143.19
84,42,360,397,t2.medium,176.27
92,59,312,586,t2.medium,190.3
56,83,380,101,t2.large,204.55
80,64,338,236,t2.medium,170.87
27,73,322,372,t2.medium,148.87
78,62,322,983,t2.large,246.97
41,20,87,481,t2.small,90.51
12,94,309,739,t2.micro,131.52
35,26,183,268,t2.large,149.03
41,86,295,445,t2.medium,163.28
66,60,382,635,t2.small,164.4
24,78,238,958,t2.micro,138.17
23,10,60,516,t2.small,72.93
79,91,200,862,t2.large,246.71
61,47,456,643,t2.micro,155.5
68,45,349,252,t2.micro,123.43
36,51,243,500,t2.large,177.23
46,77,302,323,t2.large,197.23
83,42,451,961,t2.large,255.4
27,54,226,293,t2.small,102.72
50,68,149,326,t2.medium,138.77
91,48,370,664,t2.micro,169.12
54,48,203,765,t2.medium,160.79
83,45,375,347,t2.large,215.69
35,18,155,501,t2.small,94.47
11,55,428,548,t2.large,184.3
82,17,424,822,t2.large,225.75
59,62,264,127,t2.micro,117.31
48,35,420,573,t2.micro,132.25
88,84,269,853,t2.small,192.85
26,37,216,232,t2.large,149.0
79,36,440,901,t2.small,181.6
23,89,169,643,t2.medium,151.75
98,36,202,936,t2.micro,161.57
13,62,341,250,t2.large,169.65
96,10,461,638,t2.medium,188.45
70,27,399,280,t2.medium,154.42
67,29,86,115,t2.medium,116.17
52,70,248,858,t2.small,159.77
58,36,418,925,t2.medium,187.94
89,96,198,813,t2.medium,212.74
22,73,349,198,t2.micro,106.49
93,25,229,928,t2.medium,188.96
58,10,470,678,t2.large,209.68
31,20,371,239,t2.small,101.81
64,89,367,184,t2.medium,173.98
29,91,438,613,t2.large,216.81
93,19,319,323,t2.small,144.07
42,44,312,112,t2.large,170.88
25,37,481,467,t2.large,183.9
76,24,269,443,t2.small,134.28
79,58,343,404,t2.small,158.57
35,78,224,451,t2.small,129.13
91,99,120,702,t2.small,180.83
90,52,267,353,t2.small,154.84
96,37,414,377,t2.large,224.9
89,50,498,584,t2.small,187.26
10,82,182,546,t2.medium,136.32
54,46,285,636,t2.medium,161.04
76,26,308,753,t2.small,158.06
92,77,497,962,t2.medium,243.35
18,28,320,995,t2.medium,148.29
33,11,233,100,t2.large,137.36
42,98,63,314,t2.micro,113.37
33,41,446,961,t2.micro,144.4
73,64,460,234,t2.large,217.6
13,24,62,700,t2.micro,71.62
87,39,240,210,t2.medium,155.39
90,72,131,451,t2.medium,178.21
15,93,470,796,t2.medium,185.94
12,52,159,496,t2.large,152.31
74,47,165,200,t2.micro,111.64
46,71,101,300,t2.medium,130.44
97,49,193,768,t2.micro,158.63
83,79,164,577,t2.medium,181.6
11,21,354,521,t2.micro,87.07
43,61,343,324,t2.large,191.82
75,49,62,573,t2.medium,149.93
68,99,122,736,t2.small,168.81
49,38,445,996,t2.micro,154.88
36,26,496,701,t2.large,204.38
76,13,142,492,t2.micro,111.2
68,97,353,331,t2.micro,160.19
77,76,203,299,t2.micro,139.55
99,76,314,498,t2.medium,206.45
52,45,376,414,t2.small,137.24
40,90,441,680,t2.micro,158.82
16,58,462,280,t2.micro,111.97
90,75,210,173,t2.large,214.35
33,18,188,487,t2.small,97.61
25,12,385,142,t2.medium,107.59
91,17,467,988,t2.micro,177.32
17,69,200,767,t2.micro,112.58
31,98,261,748,t2.small,151.6
20,68,497,971,t2.micro,156.51
16,48,320,747,t2.small,123.81
34,17,132,896,t2.micro,101.38
99,58,57,276,t2.large,197.67
93,59,301,220,t2.small,154.77
24,90,334,765,t2.medium,172.58
49,45,150,911,t2.micro,129.14
51,85,220,838,t2.large,218.1
57,24,482,140,t2.micro,117.06
78,19,322,150,t2.medium,143.95
98,98,148,542,t2.small,175.36
23,26,314,371,t2.micro,88.3
12,12,181,740,t2.micro,80.41
98,21,192,959,t2.medium,187.29
47,29,431,684,t2.small,139.23
13,49,420,655,t2.small,127.11
54,79,433,578,t2.medium,187.16
19,81,171,194,t2.medium,120.47
72,97,155,853,t2.medium,193.4
28,63,84,699,t2.large,175.26
39,16,246,484,t2.medium,121.11
56,24,340,176,t2.small,112.87
46,50,68,152,t2.medium,112.58
72,79,425,358,t2.large,230.95
93,63,293,945,t2.micro,181.55
33,69,118,188,t2.micro,88.12
93,66,251,141,t2.medium,170.57
81,90,229,886,t2.large,248.44
29,98,207,236,t2.medium,143.66
60,87,288,403,t2.small,153.23
62,13,136,465,t2.micro,94.49
73,12,352,961,t2.large,219.12
71,62,417,133,t2.large,209.39
11,20,395,416,t2.micro,89.77
74,57,426,789,t2.large,242.58
32,66,200,239,t2.small,104.89
58,20,171,483,t2.micro,98.31
63,49,432,755,t2.small,169.03
14,52,197,106,t2.medium,102.37
54,35,224,740,t2.small,135.87
10,46,223,560,t2.large,163.23
67,19,270,658,t2.large,191.23
79,41,252,357,t2.small,138.04
12,15,421,553,t2.small,106.21
17,96,140,935,t2.medium,159.77
94,37,382,346,t2.medium,173.32
41,15,144,813,t2.small,110.22
67,68,472,713,t2.medium,207.66
57,20,322,854,t2.medium,165.97
25,28,398,514,t2.micro,106.21
47,99,407,519,t2.micro,159.32
18,37,284,562,t2.large,169.88
95,66,472,822,t2.small,211.0
14,64,279,514,t2.micro,104.38
28,91,315,233,t2.medium,150.59
54,10,316,384,t2.small,116.51
44,73,442,728,t2.micro,158.32
87,91,402,855,t2.micro,196.25
95,32,124,861,t2.small,159.95
55,47,50,340,t2.small,101.85
95,75,53,182,t2.micro,130.21
62,27,463,985,t2.large,230.95
93,74,230,393,t2.large,224.06
20,99,297,199,t2.small,121.87
47,24,489,787,t2.large,213.23
93,25,473,982,t2.large,256.26
62,25,283,719,t2.micro,127.49
75,31,167,418,t2.large,187.33
38,59,338,954,t2.large,217.73
42,17,227,407,t2.micro,89.8
67,53,413,646,t2.micro,154.86
91,92,163,571,t2.large,237.44
16,18,59,794,t2.micro,78.05
86,26,79,675,t2.small,135.39
88,43,299,795,t2.small,174.65
25,82,251,467,t2.micro,113.99
73,13,474,469,t2.medium,169.83
23,26,417,128,t2.medium,118.79
23,41,428,552,t2.micro,120.75
48,67,311,425,t2.small,139.77
58,98,95,533,t2.micro,134.65
83,22,309,391,t2.medium,159.7
96,57,256,230,t2.large,212.15
66,19,499,231,t2.medium,155.1
96,91,492,974,t2.medium,248.56
30,59,264,244,t2.medium,128.01
17,11,383,140,t2.medium,103.49
76,20,59,383,t2.small,108.75
36,22,319,726,t2.micro,112.05
31,96,486,546,t2.small,162.97
90,64,271,559,t2.small,169.32
38,46,437,367,t2.large,191.1
76,22,471,848,t2.large,235.67
12,34,138,675,t2.small,90.63
83,18,245,692,t2.large,205.45
82,14,342,251,t2.micro,119.87
62,49,454,718,t2.small,170.27
28,70,175,180,t2.small,98.61
80,62,423,673,t2.large,245.91
58,21,136,185,t2.medium,114.18
34,89,330,286,t2.large,193.87
80,75,475,503,t2.large,243.81
14,53,459,721,t2.micro,127.32
80,36,314,673,t2.small,159.11
69,46,232,134,t2.medium,143.37
63,75,228,237,t2.large,197.99
19,62,205,678,t2.micro,109.15
49,64,103,107,t2.micro,93.03
73,97,362,777,t2.medium,214.4
21,58,359,118,t2.small,106.21
30,50,85,266,t2.medium,108.12
76,52,431,458,t2.medium,185.95
49,72,230,281,t2.medium,147.92
91,36,68,977,t2.micro,146.92
53,96,277,431,t2.small,154.27
34,30,254,913,t2.large,192.19
18,74,143,970,t2.micro,125.69
13,63,393,634,t2.small,132.04
28,64,336,414,t2.micro,115.92
78,52,301,328,t2.large,208.17
38,29,327,741,t2.micro,120.43
33,89,270,925,t2.micro,151.32
63,98,347,610,t2.medium,201.61
71,97,405,837,t2.large,258.71
28,90,495,146,t2.medium,160.72
26,28,446,907,t2.micro,134.31
80,84,247,124,t2.large,210.08
85,74,441,225,t2.small,174.56
94,29,211,555,t2.medium,168.95
86,64,493,743,t2.small,200.04
94,34,131,876,t2.large,220.09
88,18,147,121,t2.micro,101.54
32,67,410,101,t2.micro,113.18
79,45,390,803,t2.small,179.65
12,81,394,868,t2.medium,172.32
37,56,471,986,t2.large,234.91
51,11,125,953,t2.small,120.94
52,31,215,576,t2.small,119.09
72,51,104,211,t2.large,178.8
22,59,191,712,t2.large,177.56
14,23,375,239,t2.medium,112.57
79,14,322,835,t2.micro,145.72
11,62,471,757,t2.large,202.04
72,74,310,414,t2.micro,145.61
72,39,474,550,t2.small,164.61
37,11,319,434,t2.large,164.91
31,91,74,292,t2.small,105.01
42,45,492,145,t2.micro,117.35
52,30,497,741,t2.medium,179.72
64,75,300,221,t2.large,205.21
82,33,303,892,t2.small,171.49
46,96,417,687,t2.large,234.97
15,81,341,847,t2.large,208.94
68,60,334,353,t2.medium,165.9
55,22,287,872,t2.large,200.57
56,98,481,750,t2.small,192.53
90,89,488,569,t2.medium,226.52
63,68,287,353,t2.large,206.8
71,50,436,545,t2.small,167.25
17,41,273,905,t2.small,123.0
67,31,75,773,t2.small,126.06
15,73,362,805,t2.large,203.75
71,60,193,983,t2.micro,156.03
58,68,146,643,t2.medium,162.92
37,43,260,144,t2.large,157.94
26,58,412,405,t2.small,131.97
40,24,241,637,t2.small,118.88
31,87,224,761,t2.micro,137.49
72,37,363,671,t2.large,217.55
69,48,51,367,t2.large,177.01
94,71,291,272,t2.micro,156.77
77,42,427,367,t2.small,158.96
47,22,359,672,t2.micro,124.89
87,14,263,695,t2.medium,168.93
91,90,74,573,t2.medium,186.38
80,62,324,345,t2.small,158.39
20,69,489,256,t2.small,133.82
17,43,201,540,t2.small,99.46
91,27,260,153,t2.small,129.17
64,86,277,391,t2.micro,145.3
68,53,484,950,t2.large,253.44
48,14,295,283,t2.medium,123.25
79,23,463,425,t2.micro,140.52
14,24,467,583,t2.medium,134.79
74,53,339,760,t2.medium,188.47
67,12,239,839,t2.large,196.91
64,84,327,286,t2.large,213.46
72,31,383,961,t2.micro,161.86
94,41,118,109,t2.medium,145.43
84,65,143,439,t2.small,145.75
77,88,59,670,t2.micro,149.38
44,84,128,716,t2.medium,160.21
43,40,87,561,t2.small,107.44
26,64,294,509,t2.micro,114.81
37,64,225,997,t2.medium,169.91
81,76,228,442,t2.small,161.9
29,12,63,977,t2.small,100.58
46,46,331,689,t2.small,141.45
55,36,378,506,t2.micro,128.64
30,31,206,228,t2.large,150.92
94,30,383,122,t2.micro,136.55
65,98,346,965,t2.micro,185.86
13,66,237,258,t2.micro,88.19
12,45,70,958,t2.medium,127.68
88,48,280,333,t2.small,149.67
58,35,246,167,t2.medium,132.15
29,25,351,929,t2.micro,129.06
28,56,172,512,t2.large,171.0
78,39,420,750,t2.small,174.67
89,89,449,154,t2.micro,166.53
56,45,320,741,t2.medium,167.97
23,11,488,814,t2.small,133.04
41,97,343,791,t2.medium,190.22
57,10,213,937,t2.small,135.5
62,11,276,653,t2.micro,118.86
85,26,299,176,t2.medium,150.77
19,80,247,909,t2.large,201.54
22,53,193,454,t2.large,164.19
76,65,438,660,t2.medium,202.55
43,71,164,327,t2.medium,140.5
87,63,230,335,t2.micro,142.39
58,64,459,345,t2.large,214.79
26,90,367,395,t2.medium,163.44
74,47,403,828,t2.large,240.22
84,98,332,758,t2.medium,220.42
10,85,216,524,t2.small,118.9
27,45,70,312,t2.large,144.6
47,45,236,375,t2.large,180.26
64,49,155,717,t2.large,203.05
94,60,484,212,t2.medium,196.52
50,24,197,546,t2.small,114.5
53,17,309,722,t2.small,131.24
72,12,481,509,t2.micro,140.43
50,78,139,586,t2.small,138.49
33,11,451,242,t2.small,102.05
18,10,472,855,t2.large,186.84
48,34,226,726,t2.large,188.62
54,58,438,846,t2.large,230.3
92,35,206,821,t2.small,161.14
16,83,246,745,t2.micro,124.36
32,34,198,870,t2.medium,144.13
44,51,406,332,t2.large,194.95
79,27,476,959,t2.micro,173.61
33,91,104,543,t2.micro,114.73
21,65,330,139,t2.micro,100.28
84,12,79,484,t2.micro,107.6
36,92,317,166,t2.medium,151.94
47,41,477,332,t2.micro,125.61
43,83,96,258,t2.micro,103.56
93,54,394,743,t2.large,251.13
13,54,428,744,t2.small,138.97
18,26,141,279,t2.micro,66.21
91,14,420,914,t2.medium,198.74
85,66,465,926,t2.medium,220.79
95,22,269,926,t2.medium,192.14
24,73,336,903,t2.small,148.94
43,47,484,601,t2.micro,142.11
38,48,487,438,t2.micro,131.81
52,76,59,925,t2.large,207.21
43,46,479,450,t2.micro,132.13
69,90,375,512,t2.medium,199.35
64,10,255,133,t2.large,162.49
87,35,106,681,t2.small,142.8
31,37,425,998,t2.micro,140.8
23,55,474,916,t2.medium,180.81
61,95,286,668,t2.small,171.29
77,47,441,389,t2.medium,181.59
82,43,140,503,t2.small,142.98
83,30,54,573,t2.micro,115.36
12,25,152,208,t2.large,126.64
23,37,309,123,t2.large,150.32
79,54,131,222,t2.micro,116.38
95,36,211,454,t2.medium,166.77
37,55,323,473,t2.micro,123.13
26,41,143,251,t2.medium,108.97
96,42,71,253,t2.small,128.01
30,50,402,530,t2.small,130.57
66,96,248,338,t2.small,153.69
53,25,229,328,t2.micro,96.39
41,94,116,228,t2.medium,139.91
28,96,241,126,t2.micro,110.0
21,12,211,445,t2.large,144.28
45,28,280,539,t2.small,118.49
92,68,185,581,t2.large,223.59
63,20,272,437,t2.large,184.71
71,63,445,428,t2.small,166.18
91,86,143,360,t2.medium,182.68
29,13,56,544,t2.medium,100.03
87,68,187,423,t2.micro,144.36
59,98,248,416,t2.large,214.07
92,92,421,616,t2.large,265.16
52,11,439,769,t2.large,201.31
10,91,376,716,t2.medium,165.66
31,55,227,391,t2.small,109.03
31,58,92,170,t2.micro,76.45
40,70,74,859,t2.medium,153.82
37,28,382,951,t2.medium,167.95
50,15,282,399,t2.large,168.81
44,54,464,527,t2.small,152.04
29,43,68,716,t2.small,102.1
41,77,409,453,t2.small,149.31
22,12,243,686,t2.medium,124.28
91,63,463,534,t2.small,186.97
85,90,117,411,t2.small,157.32
72,46,411,646,t2.large,224.47
24,96,360,283,t2.micro,124.46
89,25,213,533,t2.large,202.69
38,44,400,808,t2.micro,141.04
55,37,411,523,t2.small,143.49
72,52,90,626,t2.large,194.22
91,71,162,946,t2.small,180.22
88,95,184,871,t2.medium,209.57
24,67,387,115,t2.medium,132.24
37,77,142,594,t2.micro,120.98
70,33,129,608,t2.large,190.05
24,12,161,732,t2.small,95.71
56,88,399,708,t2.micro,172.1
26,39,98,447,t2.small,89.88
94,96,158,396,t2.micro,157.72
24,39,185,238,t2.large,143.14
47,68,244,563,t2.micro,126.98
37,42,389,523,t2.medium,148.59
72,27,173,165,t2.large,169.89
84,39,491,530,t2.small,173.5
12,93,487,606,t2.large,210.97
36,87,467,583,t2.micro,153.7
11,46,461,150,t2.medium,123.25
84,26,410,174,t2.large,203.59
42,31,486,275,t2.micro,118.13
43,29,421,920,t2.large,211.22
93,13,342,290,t2.micro,130.49
33,50,389,446,t2.medium,149.92
38,19,469,402,t2.small,122.93
57,61,159,366,t2.micro,113.6
16,88,387,577,t2.micro,133.28
75,41,64,600,t2.medium,148.95
95,77,314,150,t2.medium,184.48
91,38,255,633,t2.large,218.46
64,87,362,852,t2.micro,180.75
45,32,450,387,t2.large,192.78
98,16,114,808,t2.small,146.94
32,23,278,591,t2.medium,127.44
57,56,466,943,t2.large,242.36
86,13,291,617,t2.medium,168.02
27,32,283,568,t2.micro,102.79
14,16,83,320,t2.medium,81.31
41,41,98,887,t2.small,122.01
93,97,134,356,t2.medium,184.87
43,14,130,614,t2.small,99.79
10,86,204,227,t2.large,161.42
64,97,308,236,t2.micro,147.82
61,79,335,558,t2.small,165.01
60,91,259,217,t2.micro,136.71
89,84,221,597,t2.medium,197.92
17,18,201,205,t2.medium,93.19
25,68,399,801,t2.micro,144.97
76,63,92,665,t2.medium,164.14
62,68,258,119,t2.micro,120.7
36,90,93,723,t2.micro,122.91
61,53,324,850,t2.medium,182.01
22,62,313,304,t2.small,110.47
61,19,234,681,t2.micro,120.81
86,15,395,909,t2.micro,161.34
34,52,315,667,t2.large,196.09
68,28,392,873,t2.small,166.57
46,72,471,489,t2.large,222.33
58,57,319,243,t2.medium,151.78
97,13,405,749,t2.small,173.56
41,13,369,137,t2.small,99.47
34,40,310,597,t2.large,187.62
37,25,390,362,t2.large,174.74
39,40,351,797,t2.large,207.62
55,59,211,313,t2.small,122.64
47,46,434,105,t2.micro,112.11
31,84,277,525,t2.small,137.5
95,76,64,762,t2.micro,156.63
88,32,385,503,t2.small,164.95
98,27,466,452,t2.small,170.84
96,76,187,107,t2.micro,139.85
43,93,78,320,t2.medium,142.06
29,79,86,847,t2.small,133.21
81,72,420,452,t2.small,174.02
43,43,92,629,t2.small,115.91
26,49,455,434,t2.small,128.27
53,77,141,636,t2.large,201.52
56,35,319,282,t2.medium,141.09
35,13,357,169,t2.medium,118.04
75,13,468,536,t2.medium,171.65
27,81,458,380,t2.large,202.28
94,14,291,219,t2.micro,125.4
36,11,325,762,t2.large,178.58
34,30,257,889,t2.large,188.98
67,96,234,529,t2.micro,152.01
60,74,396,323,t2.large,214.53
84,32,369,156,t2.small,142.52
50,26,95,925,t2.large,185.76
62,66,107,646,t2.small,139.82
60,54,91,631,t2.large,191.87
12,45,319,233,t2.micro,84.55
71,34,256,534,t2.medium,160.08
54,36,455,271,t2.medium,153.71
76,38,146,158,t2.medium,135.0
38,12,95,346,t2.large,137.26
87,42,351,220,t2.large,203.86
55,65,174,943,t2.medium,176.26
12,45,144,518,t2.small,93.65
91,46,202,145,t2.medium,151.51
25,30,194,397,t2.large,150.94
62,16,490,958,t2.small,168.69
75,47,443,730,t2.medium,195.57
89,83,128,473,t2.small,159.81
21,90,179,770,t2.large,198.56
57,50,157,384,t2.small,121.33
77,71,86,903,t2.large,222.53
84,57,131,548,t2.large,206.7
94,74,243,139,t2.medium,174.88
78,55,457,705,t2.micro,173.42
40,88,180,654,t2.micro,134.44
69,16,342,391,t2.micro,121.25
38,38,269,355,t2.medium,132.15
78,97,369,473,t2.large,243.25
85,67,60,710,t2.large,215.57
14,51,211,385,t2.small,97.8
20,12,438,986,t2.medium,153.31
83,10,157,603,t2.micro,120.86
83,64,144,938,t2.medium,188.84
69,49,477,838,t2.large,243.89
20,22,240,645,t2.large,160.24
36,13,420,114,t2.medium,118.93
58,53,276,313,t2.micro,119.4
38,35,415,993,t2.medium,173.18
60,73,59,139,t2.small,115.24
14,93,304,417,t2.medium,148.6
66,31,308,452,t2.micro,121.58
16,11,358,496,t2.small,95.94
44,91,320,791,t2.medium,189.43
45,46,282,302,t2.large,177.05
48,83,86,998,t2.medium,170.69
97,13,64,877,t2.small,146.06
54,70,278,130,t2.large,187.28
66,92,179,797,t2.medium,185.34
50,45,60,487,t2.micro,97.04
42,36,123,805,t2.micro,107.65
85,15,368,449,t2.medium,166.1
71,38,391,852,t2.large,231.44
18,90,84,451,t2.medium,128.15
26,35,170,160,t2.micro,71.1
38,64,377,423,t2.large,198.67
94,48,225,650,t2.micro,154.35
36,32,278,742,t2.micro,115.55
76,11,264,392,t2.micro,115.03
92,82,479,761,t2.medium,229.83
50,16,59,653,t2.large,161.06
21,86,95,199,t2.micro,87.12
41,27,209,931,t2.small,130.0
84,22,213,239,t2.micro,115.17
40,63,192,337,t2.small,116.12
55,15,279,916,t2.large,200.82
62,97,361,449,t2.small,171.12
16,30,441,159,t2.medium,120.78
81,57,265,127,t2.medium,154.2
56,31,255,292,t2.small,115.33
64,61,348,699,t2.medium,186.52
73,54,404,424,t2.medium,176.31
95,43,219,991,t2.medium,202.93
30,26,196,882,t2.medium,135.49
26,83,170,143,t2.micro,93.8
77,96,319,598,t2.micro,170.62
91,36,292,866,t2.micro,163.88
65,75,402,861,t2.large,243.82
55,33,174,478,t2.large,175.46
72,58,482,602,t2.micro,165.31
98,29,267,143,t2.micro,123.33
22,12,198,591,t2.micro,83.91
61,37,78,134,t2.large,155.61
43,40,476,797,t2.large,211.63
34,24,495,662,t2.micro,128.71
48,59,239,740,t2.medium,160.11
60,79,210,253,t2.small,134.9
30,13,242,238,t2.large,144.56
67,25,280,157,t2.small,118.81
43,71,444,857,t2.large,230.71
19,47,334,381,t2.medium,130.33
32,50,149,386,t2.small,103.42
64,39,205,214,t2.medium,134.13
50,72,275,257,t2.small,132.06
29,54,84,265,t2.small,87.93
37,60,172,817,t2.micro,123.69
71,17,376,719,t2.small,151.69
90,63,457,681,t2.small,195.92
49,39,387,985,t2.medium,177.87
78,55,472,947,t2.micro,188.64
45,41,372,244,t2.medium,141.58
25,22,330,680,t2.micro,106.05
60,99,330,353,t2.micro,151.56
68,60,201,288,t2.small,131.54
41,83,466,155,t2.small,147.6
10,95,472,530,t2.small,150.39
67,79,299,936,t2.large,241.42
76,85,351,129,t2.small,156.97
87,57,186,792,t2.small,164.66
68,21,120,836,t2.medium,154.75
76,63,419,269,t2.micro,153.17
16,64,306,999,t2.large,200.12
49,38,203,985,t2.micro,133.91
44,47,105,504,t2.medium,128.32
14,12,397,750,t2.medium,129.26
69,49,397,439,t2.small,151.53
69,76,364,123,t2.medium,166.94
62,78,450,926,t2.large,250.46
92,24,372,435,t2.medium,172.48
33,62,287,191,t2.large,170.16
73,45,485,837,t2.large,240.78
75,95,429,710,t2.medium,220.27
35,51,398,497,t2.medium,156.01
75,29,315,443,t2.medium,161.14
11,40,433,465,t2.micro,106.12
49,16,113,551,t2.small,104.72
87,80,288,916,t2.large,257.83
99,38,395,534,t2.micro,162.78
93,36,394,450,t2.large,221.29
39,91,242,802,t2.medium,177.32
99,85,438,523,t2.large,259.93
39,24,190,694,t2.micro,100.9
14,68,463,700,t2.micro,135.99
44,82,229,854,t2.large,217.17
93,15,132,832,t2.large,205.23
65,13,242,662,t2.micro,121.0
61,21,225,147,t2.large,162.05
27,76,161,345,t2.small,109.17
26,20,309,597,t2.micro,98.41
82,34,199,869,t2.small,153.21
16,21,136,153,t2.micro,53.5
39,82,267,478,t2.large,199.28
85,60,451,766,t2.micro,184.38
90,86,89,677,t2.micro,154.43
50,10,162,987,t2.small,125.58
33,59,425,321,t2.large,191.78
52,50,52,243,t2.micro,87.43
90,49,280,223,t2.micro,137.03
97,54,294,952,t2.medium,213.88
22,71,195,265,t2.small,104.5
69,33,473,838,t2.large,232.62
22,27,333,947,t2.micro,119.44
79,29,115,679,t2.small,132.92
57,44,376,365,t2.small,135.47
70,48,471,850,t2.small,183.82
40,76,375,470,t2.micro,135.92
95,78,387,288,t2.small,178.32
93,59,486,616,t2.medium,215.8
80,73,87,316,t2.micro,128.69
61,16,51,978,t2.medium,145.5
40,32,322,346,t2.medium,131.61
54,69,489,393,t2.large,222.37
83,10,406,511,t2.micro,142.87
54,74,153,287,t2.small,124.94
27,38,74,172,t2.small,76.84
63,52,333,261,t2.small,138.03
77,57,479,368,t2.micro,160.18
89,33,321,411,t2.medium,169.19
41,43,227,265,t2.small,107.57
92,39,499,751,t2.micro,178.09
70,20,446,477,t2.micro,137.79
39,48,184,866,t2.small,133.98
96,56,499,998,t2.medium,236.24
99,10,286,586,t2.large,214.22
18,52,263,953,t2.large,193.91
75,38,77,808,t2.large,200.52
94,12,88,147,t2.micro,95.92
12,95,483,747,t2.micro,154.33
42,31,222,206,t2.large,156.79
65,89,335,424,t2.micro,156.84
17,67,253,508,t2.micro,102.96
10,74,225,361,t2.large,165.16
82,87,123,157,t2.small,142.28
16,10,194,989,t2.small,101.08
87,16,86,284,t2.large,178.1
77,72,228,909,t2.small,178.76
82,22,294,725,t2.large,213.58
15,32,492,410,t2.large,175.55
63,33,208,685,t2.large,194.11
31,45,205,141,t2.micro,81.76
65,85,378,218,t2.small,156.36
97,44,103,292,t2.small,132.8
38,47,311,631,t2.small,134.18
15,73,101,466,t2.large,162.16
97,17,193,555,t2.large,201.46
52,31,356,582,t2.large,196.36
29,55,289,910,t2.medium,161.45
16,16,437,137,t2.micro,79.85
40,11,404,389,t2.large,172.02
73,55,193,587,t2.micro,140.72
